PP,Blok,Condition,timestamp,SnMouseAct,SnLeftClicked,SnRightClicked,SnDoubleClicked,SnWheel,SnDragged,SnMouseDistance,SnKeyStrokes,SnChars,SnSpecialKeys,SnDirectionKeys,SnErrorKeys,SnShortcutKeys,SnSpaces,SnAppChange,SnTabfocusChange,,
PP1,1,N,20120918T133600000,0,0,0,0,0,0,0.000000000000,183,125,58,24,6,0,24,0,0,,
PP1,1,N,20120918T133700000,4,2,0,0,0,1,2670.793367081960,140,86,54,0,20,0,23,0,0,,
PP1,1,N,20120918T133800000,15,10,0,1,0,2,7997.001313333640,62,34,28,9,4,0,9,7,0,,
PP1,1,N,20120918T133900000,6,4,0,0,0,1,4638.986272229890,103,67,36,0,7,0,14,2,4,,
PP1,1,N,20120918T134000000,11,6,0,1,2,1,7144.703826014630,123,87,36,0,10,1,18,3,1,,
PP1,1,N,20120918T134100000,14,8,0,0,0,3,8418.787048244690,66,47,19,0,6,1,9,2,0,,
PP1,1,N,20120918T134200000,35,12,0,0,5,9,2485.729036169700,73,56,17,0,2,0,11,3,0,,
PP1,1,N,20120918T134300000,26,15,0,0,1,5,22095.749793155700,63,35,28,0,7,0,9,5,2,,
PP1,1,N,20120918T134400000,37,10,0,0,8,9,2932.035590702790,17,15,2,0,0,0,0,0,0,,
PP1,1,N,20120918T134500000,7,4,0,0,1,1,6068.441731672360,64,40,24,0,10,0,8,1,0,,
PP1,1,N,20120918T134600000,20,10,0,0,2,4,16718.890606849000,107,76,31,0,1,0,18,3,0,,
PP1,1,N,20120918T134700000,7,5,0,0,0,1,5810.877990268710,141,88,53,0,13,0,23,5,0,,
PP1,1,N,20120918T134800000,10,4,0,0,0,3,7430.615652826350,164,117,47,0,8,0,27,1,0,,
PP1,1,N,20120918T134900000,19,15,0,0,4,0,12869.706334427700,69,40,29,0,6,0,10,4,4,,
PP1,1,N,20120918T135000000,14,8,0,0,0,3,12036.332510406000,126,92,34,0,3,0,22,3,1,,
PP1,1,N,20120918T135100000,5,3,0,0,0,1,46857.388008926200,123,82,41,0,4,0,17,2,0,,
PP1,1,N,20120918T135200000,8,6,0,0,0,1,669.295764993331,133,97,36,0,5,0,21,5,0,,
PP1,1,N,20120918T135300000,3,3,0,0,0,0,2453.098317870600,129,73,56,4,11,1,18,1,0,,
PP1,1,N,20120918T135400000,9,4,0,0,3,1,5182.302727241230,163,115,48,7,5,0,24,0,0,,
PP1,1,N,20120918T135500000,0,0,0,0,0,0,0.000000000000,183,141,42,0,5,0,27,0,0,,
PP1,1,N,20120918T135600000,28,16,0,2,10,0,12353.065002820300,21,14,7,0,0,1,2,4,3,,
PP1,1,N,20120918T135700000,37,19,0,0,8,5,18088.697992980300,21,14,7,0,1,0,3,7,2,,
PP1,1,N,20120918T135800000,7,4,0,0,1,1,23492.837445302700,102,80,22,0,0,0,19,0,0,,
PP1,1,N,20120918T135900000,16,9,0,0,7,0,9349.803567165190,115,72,43,0,21,0,17,4,2,,
PP1,1,N,20120918T140000000,0,0,0,0,0,0,0.000000000000,144,110,34,0,9,0,22,0,0,,
PP1,1,N,20120918T140100000,0,0,0,0,0,0,0.000000000000,184,140,44,0,10,0,28,0,0,,
PP1,1,N,20120918T140200000,0,0,0,0,0,0,0.000000000000,130,102,28,0,5,0,21,0,0,,
PP1,1,N,20120918T140300000,0,0,0,0,0,0,0.000000000000,206,164,42,0,7,0,29,0,0,,
PP1,1,N,20120918T140400000,20,9,0,0,7,2,10204.769174817300,33,24,9,0,0,0,7,5,2,,
PP1,1,N,20120918T140500000,21,14,0,1,0,3,14446.131153071800,47,18,29,0,1,0,9,16,0,,
PP1,1,N,20120918T140600000,6,3,0,0,1,1,4846.073218232860,108,72,36,9,10,0,11,1,0,,
PP1,1,N,20120918T140700000,7,7,0,0,0,0,5628.514179512560,66,40,26,0,8,0,13,7,0,,
PP1,2,R,20120918T142800000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,2,R,20120918T142900000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,2,R,20120918T143000000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,2,R,20120918T143100000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,2,R,20120918T143200000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,2,R,20120918T143300000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,2,T,20120918T143600000,12,7,0,4,0,0,6031.193540793860,56,33,23,0,12,0,4,7,1,,
PP1,2,T,20120918T143700000,14,4,1,0,9,0,9144.832407998200,7,0,7,0,2,0,1,1,2,,
PP1,2,T,20120918T143800000,23,7,0,0,14,1,1313.888744580080,15,10,5,0,0,0,2,3,3,,
PP1,2,T,20120918T143900000,8,7,0,0,1,0,62011.257769859900,34,28,6,0,0,0,5,7,0,,
PP1,2,T,20120918T144000000,3,3,0,0,0,0,23252.547052746900,111,70,41,13,11,0,16,4,0,,
PP1,2,T,20120918T144100000,18,11,0,0,7,0,12970.163926981300,89,70,19,0,2,0,11,10,2,,
PP1,2,T,20120918T144200000,22,11,0,0,9,1,13006.574456212100,88,69,19,0,0,0,12,6,3,,
PP1,2,T,20120918T144300000,29,10,0,0,15,2,18565.819897638000,25,11,14,0,2,0,3,6,2,,
PP1,2,T,20120918T144400000,19,8,0,0,11,0,12333.712543266100,56,39,17,0,2,0,10,6,2,,
PP1,2,T,20120918T144500000,12,6,0,0,6,0,7474.436200344530,15,11,4,0,0,0,2,2,4,,
PP1,2,T,20120918T144600000,27,10,0,0,15,1,18096.551372017900,0,0,0,0,0,0,0,4,4,,
PP1,2,T,20120918T144700000,13,10,0,0,1,1,956.383492090942,118,89,29,0,5,0,17,10,0,,
PP1,2,T,20120918T144800000,13,8,0,0,5,0,961.764356093378,78,60,18,0,3,0,10,7,0,,
PP1,2,T,20120918T144900000,2,2,0,0,0,0,11156.181911703300,147,116,31,0,3,1,22,1,0,,
PP1,2,T,20120918T145000000,22,17,0,3,2,0,11847.596454888500,69,44,25,9,3,0,9,10,1,,
PP1,2,T,20120918T145100000,9,5,0,0,0,2,4632.838687280860,0,0,0,0,0,0,0,0,0,,
PP1,2,T,20120918T145200000,5,3,0,0,2,0,3468.993833134940,0,0,0,0,0,0,0,4,0,,
PP1,2,T,20120918T145300000,15,8,0,0,7,0,9052.294553655420,0,0,0,0,0,0,0,8,1,,
PP1,2,T,20120918T145400000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,2,T,20120918T145500000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,2,T,20120918T145600000,12,9,0,0,3,0,8890.797789446850,0,0,0,0,0,0,0,8,0,,
PP1,2,T,20120918T145700000,10,10,0,0,0,0,8118.125686352690,0,0,0,0,0,0,0,8,0,,
PP1,2,T,20120918T145800000,3,3,0,0,0,0,2492.235269707960,0,0,0,0,0,0,0,3,0,,
PP1,2,T,20120918T145900000,9,6,0,1,2,0,5809.353304790500,0,0,0,0,0,0,0,5,2,,
PP1,2,T,20120918T150000000,27,13,4,1,1,4,15932.472920037900,0,0,0,0,0,0,0,5,8,,
PP1,2,T,20120918T150100000,22,10,0,0,0,6,17599.226058899200,0,0,0,0,0,0,0,0,0,,
PP1,2,T,20120918T150200000,35,20,1,0,0,7,260.827555495533,0,0,0,0,0,0,0,2,1,,
PP1,3,R,20120918T152300000,4,2,0,2,0,0,3357.684333540670,0,0,0,0,0,0,0,2,1,,
PP1,3,R,20120918T152400000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,3,R,20120918T152500000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,3,R,20120918T152600000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,3,R,20120918T152700000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,3,R,20120918T152800000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,3,I,20120918T153300000,23,9,0,2,4,4,15518.963641872500,57,41,16,0,2,0,5,5,4,,
PP1,3,I,20120918T153400000,15,6,0,0,9,0,11507.131440327800,62,41,21,0,0,0,10,6,0,,
PP1,3,I,20120918T153500000,0,0,0,0,0,0,0.000000000000,123,90,33,7,4,0,18,0,0,,
PP1,3,I,20120918T153600000,3,2,0,0,1,0,2207.419466013580,125,98,27,0,3,0,20,2,0,,
PP1,3,I,20120918T153700000,18,4,0,0,14,0,15429.334820094400,59,41,18,0,1,0,11,3,2,,
PP1,3,I,20120918T153800000,17,13,0,0,0,2,7393.342855209630,64,45,19,0,2,1,12,3,0,,
PP1,3,I,20120918T153900000,12,10,0,0,0,1,697.754015984974,67,35,32,0,6,0,6,8,3,,
PP1,3,I,20120918T154000000,13,7,0,0,0,3,6308.869904881620,69,38,31,14,1,0,7,1,0,,
PP1,3,I,20120918T154100000,36,12,0,0,20,2,23817.531687250900,33,19,14,1,1,0,6,8,1,,
PP1,3,I,20120918T154200000,7,3,0,0,0,2,292.793143080928,136,104,32,4,9,0,15,0,0,,
PP1,3,I,20120918T154300000,8,6,0,0,2,0,4756.963281702890,86,63,23,0,3,0,13,2,0,,
PP1,3,I,20120918T154400000,14,3,0,0,7,2,9703.812274164770,58,44,14,0,7,0,6,2,0,,
PP1,3,I,20120918T154500000,13,5,0,0,6,1,9149.473767845000,93,75,18,0,1,0,12,4,0,,
PP1,3,I,20120918T154600000,0,0,0,0,0,0,0.000000000000,107,77,30,0,6,0,17,0,0,,
PP1,3,I,20120918T154700000,3,2,0,0,1,0,2752.846428413420,131,106,25,0,1,0,19,2,0,,
PP1,3,I,20120918T154800000,3,1,0,0,0,1,150.304992023528,166,118,48,0,6,0,27,0,0,,
PP1,3,I,20120918T154900000,5,5,0,0,0,0,3487.353959231880,116,93,23,0,1,0,17,3,0,,
PP1,3,I,20120918T155000000,7,5,0,2,0,0,27089.068104382100,140,112,28,0,1,1,20,2,0,,
PP1,3,I,20120918T155100000,10,5,0,3,2,0,5712.729041747640,103,81,22,0,4,0,13,3,1,,
PP1,3,I,20120918T155200000,21,17,0,0,4,0,12749.424234494800,44,31,13,0,4,0,5,7,2,,
PP1,3,I,20120918T155300000,3,3,0,0,0,0,2333.011428902660,114,79,35,3,11,0,15,4,0,,
PP1,3,I,20120918T155400000,0,0,0,0,0,0,0.000000000000,192,152,40,0,6,0,31,0,0,,
PP1,3,I,20120918T155500000,0,0,0,0,0,0,0.000000000000,178,135,43,0,6,0,31,0,0,,
PP1,3,I,20120918T155600000,0,0,0,0,0,0,0.000000000000,172,123,49,7,11,0,27,0,0,,
PP1,3,I,20120918T155700000,0,0,0,0,0,0,0.000000000000,153,119,34,0,5,0,23,0,0,,
PP1,3,I,20120918T155800000,0,0,0,0,0,0,0.000000000000,209,157,52,9,6,0,33,0,0,,
PP1,3,I,20120918T155900000,5,3,0,0,0,1,2784.545932322490,138,97,41,7,6,0,25,1,0,,
PP1,3,I,20120918T160000000,5,5,0,0,0,0,31095.946628734700,120,73,47,0,12,0,19,5,0,,
PP1,3,I,20120918T160100000,0,0,0,0,0,0,0.000000000000,204,152,52,0,12,0,34,0,0,,
PP1,3,I,20120918T160200000,0,0,0,0,0,0,0.000000000000,229,178,51,0,13,0,33,0,0,,
PP1,3,I,20120918T160300000,5,1,0,0,4,0,31270.736268948300,88,71,17,0,4,0,11,0,0,,
PP1,3,I,20120918T160400000,11,9,0,0,2,0,4921.090035015070,6,4,2,0,0,0,1,2,0,,
PP1,3,I,20120918T160500000,30,18,3,1,2,3,18301.650670585000,25,19,6,0,0,1,1,15,6,,
PP1,3,I,20120918T160600000,9,8,0,0,1,0,5020.602311347470,64,40,24,0,2,0,7,6,0,,
PP1,3,I,20120918T160700000,12,8,0,0,0,2,7389.393818360550,77,46,31,7,4,4,7,5,0,,
PP1,3,I,20120918T160800000,20,17,0,1,0,1,14417.505195811400,64,37,27,0,14,3,1,11,0,,
PP1,3,I,20120918T160900000,17,11,0,1,1,2,12449.872601129800,66,41,25,0,4,0,7,8,0,,
PP1,3,I,20120918T161000000,7,7,0,0,0,0,5513.239646859490,68,44,24,7,6,0,6,6,0,,
PP1,3,I,20120918T161100000,14,12,0,0,0,1,977.980586701839,61,45,16,0,1,0,5,9,0,,
PP1,3,I,20120918T161200000,18,12,0,0,4,1,11602.947042734500,52,28,24,0,1,3,5,7,1,,
PP1,3,I,20120918T161300000,21,13,0,0,4,2,1515.235148512030,21,13,8,0,2,1,3,4,0,,
PP1,3,I,20120918T161400000,0,0,0,0,0,0,0.000000000000,181,128,53,0,18,0,32,0,0,,
PP2,1,R,20120919T131200000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP2,1,R,20120919T131300000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP2,1,R,20120919T131400000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP2,1,R,20120919T131500000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP2,1,R,20120919T131600000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP2,1,R,20120919T131700000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP2,1,N,20120919T132100000,11,7,0,0,0,2,5643.795090070700,69,39,30,1,11,0,8,0,0,,
PP2,1,N,20120919T132200000,16,11,2,1,2,0,8571.737203373160,48,34,14,0,6,0,2,5,9,,
PP2,1,N,20120919T132300000,20,12,3,0,5,0,918.251948795583,18,6,12,7,0,0,3,0,6,,
PP2,1,N,20120919T132400000,18,9,1,0,6,1,12065.301708114300,6,0,6,0,0,2,0,2,2,,
PP2,1,N,20120919T132500000,10,2,0,0,6,1,5836.034903553580,0,0,0,0,0,0,0,0,3,,
PP2,1,N,20120919T132600000,14,7,0,0,3,2,9800.166354526480,10,0,10,0,0,4,0,4,0,,
PP2,1,N,20120919T132700000,19,10,1,0,6,1,14075.439549343800,2,0,2,0,0,2,0,6,1,,
PP2,1,N,20120919T132800000,24,8,0,0,12,2,13291.799978685100,5,0,5,0,5,0,0,2,0,,
PP2,1,N,20120919T132900000,29,15,0,0,6,4,19016.857422495700,7,0,7,0,0,4,0,6,0,,
PP2,1,N,20120919T133000000,10,4,0,0,4,1,6191.050727662610,0,0,0,0,0,0,0,1,3,,
PP2,1,N,20120919T133100000,32,10,0,0,20,1,20232.671377010900,8,3,5,0,0,2,0,2,5,,
PP2,1,N,20120919T133200000,8,4,0,0,4,0,5249.945303005320,59,33,26,0,18,0,5,3,3,,
PP2,1,N,20120919T133300000,10,5,0,0,3,1,5595.525745028910,15,12,3,0,0,0,2,1,1,,
PP2,1,N,20120919T133400000,0,0,0,0,0,0,0.000000000000,104,39,65,0,52,0,12,0,0,,
PP2,1,N,20120919T133500000,0,0,0,0,0,0,0.000000000000,92,64,28,0,13,0,14,0,0,,
PP2,1,N,20120919T133600000,2,2,0,0,0,0,13079.268837695100,136,59,77,0,61,0,13,0,0,,
PP2,1,N,20120919T133700000,1,1,0,0,0,0,8682.315359395780,99,48,51,0,34,0,9,0,0,,
PP2,1,N,20120919T133800000,5,3,2,0,0,0,3039.331374968170,105,70,35,0,21,0,11,4,2,,
PP2,1,N,20120919T133900000,11,6,3,0,0,1,904.388530929931,82,52,30,0,12,0,16,6,3,,
PP2,1,N,20120919T134000000,13,9,2,0,0,1,923.562374520365,103,56,47,22,7,2,10,4,2,,
PP2,1,N,20120919T134100000,6,5,1,0,0,0,4052.929755858800,61,37,24,2,14,0,7,2,1,,
PP2,1,N,20120919T134200000,4,2,0,0,0,1,3726.555432559710,80,58,22,0,12,0,9,0,0,,
PP2,1,N,20120919T134300000,14,2,1,0,11,0,7259.300173534580,84,58,26,0,15,0,11,2,1,,
PP2,1,N,20120919T134400000,31,8,0,0,17,3,14361.268618987500,16,0,16,0,0,6,3,0,0,,
PP2,1,N,20120919T134500000,21,5,0,0,12,2,9776.826036937610,90,57,33,0,9,4,16,0,0,,
PP2,1,N,20120919T134600000,11,4,0,0,3,2,591.153689893724,21,9,12,0,3,2,3,0,0,,
PP2,1,N,20120919T134700000,21,11,0,0,2,4,1283.247904541760,25,17,8,0,2,2,3,6,2,,
PP2,1,N,20120919T134800000,12,10,0,0,0,1,797.106804912709,63,47,16,0,2,3,9,3,1,,
PP2,1,N,20120919T134900000,0,0,0,0,0,0,0.000000000000,52,38,14,0,9,0,5,0,0,,
PP2,1,N,20120919T135000000,17,13,0,0,0,2,1379.666383579000,22,15,7,0,2,0,3,9,1,,
PP2,1,N,20120919T135100000,13,6,0,0,5,1,8944.733097900430,2,0,2,0,0,2,0,4,2,,
PP2,1,N,20120919T135200000,3,2,0,0,1,0,17806.578451540200,104,69,35,0,11,0,20,2,1,,
PP2,1,N,20120919T135300000,10,5,0,0,1,2,76419.940445061600,58,36,22,0,6,2,12,1,0,,
PP2,1,N,20120919T135400000,5,0,0,0,5,0,27543.297885765100,108,69,39,0,24,0,15,0,0,,
PP2,1,N,20120919T135500000,12,6,0,0,2,2,8074.380283986150,93,68,25,0,7,0,16,0,0,,
PP2,1,N,20120919T135600000,5,1,0,0,4,0,18660.230103422200,49,33,16,0,6,0,7,0,0,,
PP2,1,N,20120919T135700000,7,5,0,0,0,1,4694.140959980740,60,39,21,0,6,1,11,0,0,,
PP2,1,N,20120919T135800000,32,16,0,0,0,8,17012.774528545300,43,10,33,11,14,0,6,0,0,,
PP2,1,N,20120919T135900000,4,2,0,0,0,1,2488.798623074170,56,13,43,0,36,2,4,0,0,,
PP2,1,N,20120919T140000000,0,0,0,0,0,0,0.000000000000,137,90,47,0,17,0,25,0,0,,
PP2,1,N,20120919T140100000,31,12,1,0,2,8,25439.607652099000,45,23,22,0,11,4,5,2,1,,
PP2,1,N,20120919T140200000,25,11,0,0,10,2,15571.930925090400,1,0,1,0,1,0,0,2,5,,
PP2,1,N,20120919T140300000,24,5,0,0,17,1,14976.934181501200,2,0,2,0,0,2,0,2,0,,
PP2,1,N,20120919T140400000,28,4,0,0,22,1,18753.788306518700,0,0,0,0,0,0,0,0,2,,
PP2,2,R,20120919T142300000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP2,2,R,20120919T142400000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP2,2,R,20120919T142500000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP2,2,R,20120919T142600000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP2,2,R,20120919T142700000,1,0,0,0,0,0,11865.251788310200,0,0,0,0,0,0,0,0,0,,
PP2,2,R,20120919T142800000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP2,2,I,20120919T143100000,17,9,0,2,2,2,12699.623574745400,1,0,1,0,0,0,0,8,2,,
PP2,2,I,20120919T143200000,28,13,1,0,8,3,1710.171793053830,5,0,5,0,1,2,0,3,1,,
PP2,2,I,20120919T143300000,23,10,0,0,5,4,10257.906591584600,7,0,7,0,4,2,1,2,1,,
PP2,2,I,20120919T143400000,28,10,3,0,9,3,1610.390458154000,15,4,11,0,4,4,1,1,4,,
PP2,2,I,20120919T143500000,11,7,0,0,2,1,6108.020037008960,4,0,4,0,0,2,0,3,0,,
PP2,2,I,20120919T143600000,20,5,0,0,13,1,10645.774661076400,0,0,0,0,0,0,0,2,1,,
PP2,2,I,20120919T143700000,31,12,0,0,9,5,13702.142266663000,5,0,5,0,1,4,0,3,1,,
PP2,2,I,20120919T143800000,22,10,0,0,4,4,10115.217888780400,2,0,2,0,2,0,0,1,0,,
PP2,2,I,20120919T143900000,31,17,0,0,5,4,15316.204327106900,11,0,11,0,6,2,0,3,1,,
PP2,2,I,20120919T144000000,45,20,3,0,8,7,22041.252630989300,32,15,17,0,13,0,4,9,4,,
PP2,2,I,20120919T144100000,24,8,0,0,8,4,15162.050065742700,61,27,34,12,11,0,7,0,0,,
PP2,2,I,20120919T144200000,36,20,0,0,2,7,2142.234737385280,7,0,7,0,5,0,1,0,0,,
PP2,2,I,20120919T144300000,25,21,0,1,1,1,14909.053020003600,30,15,15,0,3,0,5,5,7,,
PP2,2,I,20120919T144400000,11,8,0,0,1,1,7589.685785626550,21,17,4,0,0,1,2,3,6,,
PP2,2,I,20120919T144500000,11,8,0,1,2,0,6307.745870774760,7,6,1,0,0,1,0,6,1,,
PP2,2,I,20120919T144600000,25,19,0,0,0,3,14892.131479870100,18,8,10,0,0,5,1,5,6,,
PP2,2,I,20120919T144700000,16,14,0,2,0,0,7890.571887611320,70,47,23,0,6,0,8,8,0,,
PP2,2,I,20120919T144800000,27,15,2,1,7,1,21541.356762186500,36,29,7,0,2,0,4,8,5,,
PP2,2,I,20120919T144900000,17,8,0,0,2,3,999.066081855581,5,0,5,0,0,5,0,4,0,,
PP2,2,I,20120919T145000000,15,10,0,0,1,2,93.314623300042,16,5,11,0,1,5,2,5,0,,
PP2,2,I,20120919T145100000,32,21,2,0,1,4,1728.915068934040,29,0,29,6,17,0,4,6,3,,
PP2,2,I,20120919T145200000,20,9,0,0,5,3,12802.267059893000,8,0,8,0,5,1,2,2,1,,
PP2,2,I,20120919T145300000,32,14,2,0,6,5,1943.037880240840,4,0,4,0,0,4,0,5,2,,
PP2,2,I,20120919T145400000,22,12,1,1,4,2,14290.575548447800,23,6,17,0,8,2,0,5,1,,
PP2,2,I,20120919T145500000,12,8,0,0,2,1,8316.782344581960,49,30,19,0,9,0,3,3,0,,
PP2,2,I,20120919T145600000,29,17,2,0,6,2,16688.442941794500,31,19,12,0,7,0,2,5,6,,
PP2,2,I,20120919T145700000,26,19,0,0,1,3,18062.603564481700,9,0,9,0,5,5,0,8,0,,
PP2,2,I,20120919T145800000,25,15,0,0,5,2,1737.005518938120,5,0,5,0,1,5,0,4,2,,
PP2,2,I,20120919T145900000,52,25,1,1,1,12,45705.462392444100,11,5,6,0,3,4,0,5,2,,
PP2,2,I,20120919T150000000,45,26,5,0,0,7,2481.178881846210,9,0,9,2,4,5,0,11,5,,
PP2,2,I,20120919T150100000,35,16,2,2,11,2,19415.155654695000,10,7,3,0,1,0,0,11,4,,
PP2,2,I,20120919T150200000,37,12,2,2,17,2,15245.593863573900,0,0,0,0,0,0,0,3,5,,
PP2,2,I,20120919T150300000,52,27,3,3,3,8,30023.370669163600,2,0,2,0,1,1,0,14,6,,
PP2,2,I,20120919T150400000,58,31,6,0,1,10,29706.199506677200,1,0,1,0,0,1,0,12,6,,
PP2,2,I,20120919T150500000,50,28,2,0,4,8,31885.393783456900,12,6,6,0,3,0,1,4,2,,
PP2,3,R,20120919T151900000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP2,3,R,20120919T152000000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP2,3,R,20120919T152100000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP2,3,R,20120919T152200000,5,2,0,1,0,1,4697.153406401410,0,0,0,0,0,0,0,0,0,,
PP2,3,R,20120919T152300000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP2,3,R,20120919T152400000,6,5,0,1,0,0,4197.665061869420,0,0,0,0,0,0,0,4,1,,
PP2,3,T,20120919T152900000,28,13,2,0,13,0,18467.091498630000,0,0,0,0,0,0,0,0,6,,
PP2,3,T,20120919T153000000,25,12,1,0,8,2,15032.901770630600,26,13,13,0,4,2,4,2,8,,
PP2,3,T,20120919T153100000,21,9,0,0,6,3,12215.257935119600,1,0,1,0,1,0,0,1,2,,
PP2,3,T,20120919T153200000,41,11,3,0,21,3,26484.910607482800,2,0,2,0,0,2,0,4,2,,
PP2,3,T,20120919T153300000,24,8,0,1,7,4,15323.602541172800,5,0,5,0,1,2,1,4,0,,
PP2,3,T,20120919T153400000,39,16,0,0,13,5,22311.187747565900,7,0,7,0,0,5,0,8,2,,
PP2,3,T,20120919T153500000,18,9,0,0,1,4,9798.503075860570,30,12,18,0,7,2,5,0,0,,
PP2,3,T,20120919T153600000,4,4,0,0,0,0,2972.075521266590,73,32,41,0,25,0,10,0,0,,
PP2,3,T,20120919T153700000,20,13,0,0,1,3,12779.475170545100,29,13,16,0,6,1,7,2,0,,
PP2,3,T,20120919T153800000,31,14,0,0,11,3,22513.959934314700,4,0,4,0,2,2,0,10,1,,
PP2,3,T,20120919T153900000,39,21,1,0,9,4,2276.312823332440,5,0,5,0,2,3,0,8,2,,
PP2,3,T,20120919T154000000,17,1,0,0,12,2,14090.940183503100,37,23,14,0,7,0,6,0,0,,
PP2,3,T,20120919T154100000,18,1,0,0,15,1,12880.309672170600,5,0,5,0,2,0,1,0,0,,
PP2,3,T,20120919T154200000,52,21,0,13,16,1,29840.741493134000,20,7,13,0,10,2,0,5,4,,
PP2,3,T,20120919T154300000,16,11,0,0,1,2,999.710381711938,26,18,8,2,2,0,2,5,7,,
PP2,3,T,20120919T154400000,0,0,0,0,0,0,0.000000000000,40,30,10,0,0,1,4,4,4,,
PP2,3,T,20120919T154500000,0,0,0,0,0,0,0.000000000000,7,0,7,0,0,4,0,4,1,,
PP2,3,T,20120919T154600000,0,0,0,0,0,0,0.000000000000,8,0,8,0,4,1,2,2,4,,
PP2,3,T,20120919T154700000,0,0,0,0,0,0,0.000000000000,42,27,15,0,5,2,8,2,0,,
