,PP,Blok,Condition_x,timestamp,SnMouseAct,SnLeftClicked,SnRightClicked,SnDoubleClicked,SnWheel,SnDragged,SnMouseDistance,SnMouseDistance.1,SnKeyStrokes,SnChars,SnSpecialKeys,SnDirectionKeys,SnErrorKeys,SnShortcutKeys,SnSpaces,SnAppChange,SnTabfocusChange,C_x,Squality,Sneutral,Shappy,Ssad,Sangry,Ssurprised,Sscared,Sdisgusted,Svalence,SyHeadOrientation,SxHeadOrientation,SzHeadOrientation,SmouthOpen,SleftEyeClosed,SrightEyeClosed,SleftEyebrowLowered,SleftEyebrowRaised,SrightEyebrowLowered,SrightEyebrowRaised,SgazeDirectionForward,SgazeDirectionLeft,SgazeDirectionRight,SAu01_InnerBrowRaiser,SAu02_OuterBrowRaiser,SAu04_BrowLowerer,SAu05_UpperLidRaiser,SAu06_CheekRaiser,SAu07_LidTightener,SAu09_NoseWrinkler,SAu10_UpperLipRaiser,SAu12_LipCornerPuller,SAu14_Dimpler,SAu15_LipCornerDepressor,SAu17_ChinRaiser,SAu20_LipStretcher,SAu23_LipTightener,SAu24_LipPressor,SAu25_LipsPart,SAu26_JawDrop,SAu27_MouthStretch,SAu43_EyesClosed,C_y,Condition_y,HR,RMSSD,SCL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
21,PP1,1.0,N,20120918T134100000,14.0,8.0,0.0,0.0,0.0,3.0,8418787048244690.0,8419.0,66.0,47.0,19.0,0.0,6.0,1.0,9.0,2.0,0.0,1,"0,899885478","0,953284126","0,017113363","0,009164371","0,007811426","0,002761263","2,88E-04","9,70E-04","0,002931453",-7,-7,1,0,"0,020833333","0,016666667","0,729166667",0,"0,279166667",0,"0,9125","0,058333333",0,0,"0,133333333","0,325","0,170833333",0,0,"0,0375","0,2","0,008333333","0,066666667",0,0,0,0,0,0,0,0,"0,004166667",1.0,N,69.0,0.031853,63.697593,,,,,
22,PP1,1.0,N,20120918T134200000,35.0,12.0,0.0,0.0,5.0,9.0,2485729036169700.0,2486.0,73.0,56.0,17.0,0.0,2.0,0.0,11.0,3.0,0.0,1,"0,901095102","0,854864137","0,050631541","0,008444626","0,003573274","0,035196189","3,83E-04","4,92E-04","0,04063925",-5,-7,2,"0,004201681","0,130252101","0,222689076","0,289915966","0,084033613","0,201680672","0,016806723","0,840336134","0,109243697",0,0,"0,18487395","0,096638655","0,264705882","0,029411765",0,"0,033613445","0,088235294",0,"0,172268908",0,"0,008403361",0,0,0,"0,008403361",0,0,"0,457983193",1.0,N,67.0,0.041906,63.475775,,,,,
23,PP1,1.0,N,20120918T134300000,26.0,15.0,0.0,0.0,1.0,5.0,2.20957497931557e+16,22096.0,63.0,35.0,28.0,0.0,7.0,0.0,9.0,5.0,2.0,1,"0,888232981","0,845416845","0,02496656","0,00317989","0,004498483","0,008983432","6,32E-04","1,96E-04","0,018655376",-6,-5,1,0,0,"0,0125","0,204166667","0,041666667","0,05",0,"0,708333333","0,1625","0,116666667",0,"0,045833333","0,133333333","0,820833333",0,0,"0,016666667",0,0,"0,016666667",0,0,0,0,0,0,0,0,0,1.0,N,69.0,0.046488,64.199901,,,,,
24,PP1,1.0,N,20120918T134400000,37.0,10.0,0.0,0.0,8.0,9.0,2932035590702790.0,2932.0,17.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"0,893312958","0,905440592","0,027863605","0,008494677","0,007027439","0,003428578","4,48E-04","3,81E-04","0,01354986",-7,-7,4,0,"0,079166667","0,029166667","0,333333333","0,304166667","0,2",0,"0,704166667","0,283333333",0,0,"0,191666667","0,1375","0,066666667",0,0,"0,216666667","0,125",0,"0,058333333","0,05",0,0,0,0,0,0,0,"0,004166667",1.0,N,67.0,0.029738,63.23822,,,,,
25,PP1,1.0,N,20120918T134500000,7.0,4.0,0.0,0.0,1.0,1.0,6068441731672360.0,6068.0,64.0,40.0,24.0,0.0,10.0,0.0,8.0,1.0,0.0,1,"0,916954659","0,920366955","0,026298088","0,017760236","0,004007965","0,004381475","8,62E-04","0,002047948","0,006653356",-4,-5,2,0,"0,188284519","0,062761506","0,866108787",0,"0,175732218",0,"0,90376569","0,054393305",0,0,"0,556485356","0,259414226","0,008368201",0,0,"0,092050209","0,280334728",0,"0,066945607",0,0,0,0,0,0,0,0,"0,016736402",1.0,N,69.0,0.035878,63.793363,,,,,
26,PP1,1.0,N,20120918T134600000,20.0,10.0,0.0,0.0,2.0,4.0,1.6718890606849e+16,16719.0,107.0,76.0,31.0,0.0,1.0,0.0,18.0,3.0,0.0,1,"0,900536964","0,902606617","0,021532963","0,018360164","0,007410255","0,002886939","4,67E-04","0,001979743","-0,001304935",-5,-6,3,0,"0,025","0,033333333","0,7375","0,1375","0,245833333",0,"0,845833333","0,129166667","0,008333333",0,"0,133333333","0,420833333","0,054166667",0,0,"0,008333333","0,258333333",0,"0,1",0,0,0,0,0,0,0,0,"0,020833333",1.0,N,71.0,0.030761,63.158369,,,,,
27,PP1,1.0,N,20120918T134700000,7.0,5.0,0.0,0.0,0.0,1.0,5810877990268710.0,5811.0,141.0,88.0,53.0,0.0,13.0,0.0,23.0,5.0,0.0,1,"0,912303348","0,88077868","0,013543707","0,0188703","0,01607357","0,002183101","3,76E-04","0,002322358","-0,014259036",-1,-6,1,0,"0,091666667","0,0625","0,945833333",0,"0,545833333",0,"0,908333333","0,05","0,0125",0,"0,108333333","0,770833333","0,0125",0,0,"0,158333333","0,445833333",0,"0,3875",0,0,0,0,0,0,0,0,"0,0125",1.0,N,67.0,0.036038,62.132903,,,,,
28,PP1,1.0,N,20120918T134800000,10.0,4.0,0.0,0.0,0.0,3.0,7430615652826350.0,7431.0,164.0,117.0,47.0,0.0,8.0,0.0,27.0,1.0,0.0,1,"0,913245045","0,886362508","0,060793579","0,004345553","0,022886507","0,00468926","6,00E-04","5,11E-04","0,036009869",-8,-7,3,0,"0,225","0,258333333","0,608333333","0,004166667","0,216666667",0,"0,8125","0,116666667",0,0,"0,004166667","0,595833333","0,195833333","0,020833333",0,"0,016666667","0,145833333",0,"0,133333333","0,004166667",0,0,"0,025",0,0,0,0,"0,525",1.0,N,67.0,0.047385,63.439268,,,,,
29,PP1,1.0,N,20120918T134900000,19.0,15.0,0.0,0.0,4.0,0.0,1.28697063344277e+16,12870.0,69.0,40.0,29.0,0.0,6.0,0.0,10.0,4.0,4.0,1,"0,902109428","0,92765855","0,026520594","0,005920208","0,048402069","0,002037473","2,20E-04","9,95E-04","-0,023555209",-6,-7,3,0,"0,10212766","0,076595745","0,940425532",0,"0,608510638",0,"0,89787234","0,046808511","0,004255319",0,"0,034042553",1,0,0,0,"0,038297872","0,136170213",0,"0,110638298",0,0,0,0,0,0,0,0,"0,025531915",1.0,N,65.0,0.14202,62.754529,,,,,
30,PP1,1.0,N,20120918T135000000,14.0,8.0,0.0,0.0,0.0,3.0,1.2036332510406e+16,12036.0,126.0,92.0,34.0,0.0,3.0,0.0,22.0,3.0,1.0,1,"0,912044023","0,917911236","0,012772862","0,023053757","0,03086434","0,001375884","5,18E-04","0,007772502","-0,032715523",-2,-6,1,0,"0,033472803","0,0041841","0,866108787",0,"0,594142259",0,"0,891213389","0,071129707",0,0,"0,020920502",2,0,0,0,"0,19665272","0,744769874",0,"0,292887029",0,0,0,0,0,0,0,0,"0,0041841",1.0,N,67.0,0.082444,61.584872,,,,,
31,PP1,1.0,N,20120918T135100000,5.0,3.0,0.0,0.0,0.0,1.0,4.68573880089262e+16,46857.0,123.0,82.0,41.0,0.0,4.0,0.0,17.0,2.0,0.0,1,"0,913471692","0,943330446","0,027025129","0,014741223","0,029082769","0,00150381","2,53E-04","0,00662832","-0,013216545",-2,-6,1,0,"0,125","0,166666667","0,929166667",0,"0,770833333",0,"0,9375","0,008333333","0,008333333",0,"0,029166667","1,8",0,0,0,"0,7125",1,0,"0,216666667",0,"0,004166667",0,0,0,0,0,0,"0,079166667",1.0,N,999.0,999.0,62.913549,,,,,
32,PP1,1.0,N,20120918T135200000,8.0,6.0,0.0,0.0,0.0,1.0,669295764993331.0,669.0,133.0,97.0,36.0,0.0,5.0,0.0,21.0,5.0,0.0,1,"0,930500317","0,905162279","0,016461541","0,034123332","0,008001748","0,002339136","0,001286996","0,008867498","-0,021775655",4,-6,3,0,"0,008403361",0,"0,844537815","0,012605042","0,621848739",0,"0,932773109","0,008403361","0,004201681",0,"0,004201681",1,"0,012605042",0,0,"0,201680672",2,0,"0,453781513",0,0,0,0,0,0,0,0,"0,016806723",1.0,N,70.0,0.038178,63.205819,,,,,
33,PP1,1.0,N,20120918T135300000,3.0,3.0,0.0,0.0,0.0,0.0,2453098317870600.0,2453.0,129.0,73.0,56.0,4.0,11.0,1.0,18.0,1.0,0.0,1,"0,927302678","0,94583464","0,01425659","0,011717187","0,008349311","0,0047031","6,39E-04","0,004328421","-0,003479415","-0,784609346",-5,2,0,"0,008333333","0,004166667","0,891666667",0,"0,6",0,"0,95",0,"0,0125",0,"0,241666667","0,7625","0,1125",0,0,"0,408333333","0,975","0,0125","0,320833333",0,"0,004166667",0,0,0,0,0,0,"0,020833333",1.0,N,68.0,0.098728,62.136688,,,,,
34,PP1,1.0,N,20120918T135400000,9.0,4.0,0.0,0.0,3.0,1.0,5182302727241230.0,5182.0,163.0,115.0,48.0,7.0,5.0,0.0,24.0,0.0,0.0,1,"0,926949085","0,942788838","0,018071592","0,017675612","0,004223149","0,009564599","5,53E-04","0,002283757","-7,99E-04","0,637304875",-6,2,"0,012875536","0,034334764","0,012875536","0,630901288","0,025751073","0,313304721",0,"0,892703863","0,025751073","0,008583691",0,"0,30472103","0,244635193","0,017167382",0,0,"0,25751073","0,759656652","0,008583691","0,193133047",0,0,0,0,0,"0,025751073",0,0,"0,051502146",1.0,N,72.0,0.07129,61.536467,,,,,
35,PP1,1.0,N,20120918T135500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,141.0,42.0,0.0,5.0,0.0,27.0,0.0,0.0,1,"0,915064213","0,853207671","0,020856797","0,04038511","0,002886181","0,014656358","9,63E-04","0,001898248","-0,02009702",1,-3,"-0,971982544",0,"0,089686099","0,134529148","0,587443946",0,"0,278026906","0,053811659","0,932735426","0,01793722",0,0,"0,134529148","0,569506726","0,578475336","0,004484305",0,"0,01793722","0,739910314","0,02690583","0,825112108",0,0,0,"0,004484305",0,0,0,0,"0,076233184",1.0,N,999.0,999.0,61.698506,,,,,
36,PP1,1.0,N,20120918T135600000,28.0,16.0,0.0,2.0,10.0,0.0,1.23530650028203e+16,12353.0,21.0,14.0,7.0,0.0,0.0,1.0,2.0,4.0,3.0,1,"0,90921472","0,894230908","0,024942927","0,010304243","0,010194417","0,003926346","9,32E-04","3,03E-04","0,007229636",-5,-5,2,0,"0,089285714","0,044642857","0,758928571",0,"0,419642857",0,"0,915178571","0,004464286","0,022321429",0,"0,03125","0,5","0,03125",0,"0,004464286","0,049107143","0,03125","0,075892857","0,084821429",0,0,0,"0,004464286",0,0,0,0,"0,022321429",1.0,N,70.0,0.05405,61.120339,,,,,
37,PP1,1.0,N,20120918T135700000,37.0,19.0,0.0,0.0,8.0,5.0,1.80886979929803e+16,18089.0,21.0,14.0,7.0,0.0,1.0,0.0,3.0,7.0,2.0,1,"0,899179119","0,669893261","0,278053367","0,020190248","0,00169441","0,00167459","0,00152574","0,001183729","0,256194688",-5,-1,-2,"0,165137615","0,206422018","0,160550459","0,45412844",0,0,"0,013761468","0,798165138",0,"0,146788991",0,"0,02293578",0,"0,151376147","0,123853211",0,"0,027522936","0,380733945","0,518348624","0,298165138",0,0,0,0,0,"0,564220183",0,0,"0,050458716",1.0,N,67.0,0.130551,59.235228,,,,,
38,PP1,1.0,N,20120918T135800000,7.0,4.0,0.0,0.0,1.0,1.0,2.34928374453027e+16,23493.0,102.0,80.0,22.0,0.0,0.0,0.0,19.0,0.0,0.0,1,"0,917889797","0,888867884","0,044411601","0,009393521","0,003972626","0,008977025","6,28E-04","4,27E-04","0,032371722",-5,-3,2,0,"0,133891213","0,092050209","0,292887029",0,"0,108786611","0,041841004","0,941422594","0,025104603",0,0,0,"0,121338912","0,677824268",0,0,"0,188284519","0,083682008",0,"0,225941423","0,012552301",0,0,0,0,0,0,0,"0,117154812",1.0,N,67.0,0.058058,59.765614,,,,,
39,PP1,1.0,N,20120918T135900000,16.0,9.0,0.0,0.0,7.0,0.0,9349803567165190.0,9350.0,115.0,72.0,43.0,0.0,21.0,0.0,17.0,4.0,2.0,1,"0,926403672","0,97018852","0,014802438","0,017629973","0,00401948","0,006495784","2,07E-04","6,93E-04","-0,004750857","0,515234311",-4,1,"0,004166667","0,066666667","0,020833333","0,55",0,"0,275",0,"0,866666667","0,004166667","0,008333333",0,"0,1625","0,2875","0,125",0,0,"0,1125","0,070833333",0,"0,35",0,"0,0125",0,0,0,"0,004166667",0,0,0,1.0,N,65.0,0.065126,58.937163,,,,,
40,PP1,1.0,N,20120918T140000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,110.0,34.0,0.0,9.0,0.0,22.0,0.0,0.0,1,"0,921082248","0,885526022","0,04434154","0,025090585","0,001875247","0,009136272","6,74E-04","0,001051752","0,018975126",5,-5,3,"0,021645022","0,056277056","0,069264069","0,307359307","0,038961039","0,199134199",0,"0,844155844","0,034632035","0,025974026",0,"0,203463203","0,207792208","0,060606061","0,008658009",0,"0,138528139","0,593073593","0,125541126","0,246753247","0,012987013","0,025974026",0,0,"0,025974026","0,038961039",0,0,"0,116883117",1.0,N,68.0,0.032421,59.538086,,,,,
