PP;Blok;Condition;timestamp;Squality;Sneutral;Shappy;Ssad;Sangry;Ssurprised;Sscared;Sdisgusted;Svalence;SyHeadOrientation;SxHeadOrientation;SzHeadOrientation;SmouthOpen;SleftEyeClosed;SrightEyeClosed;SleftEyebrowLowered;SleftEyebrowRaised;SrightEyebrowLowered;SrightEyebrowRaised;SgazeDirectionForward;SgazeDirectionLeft;SgazeDirectionRight;SAu01_InnerBrowRaiser;SAu02_OuterBrowRaiser;SAu04_BrowLowerer;SAu05_UpperLidRaiser;SAu06_CheekRaiser;SAu07_LidTightener;SAu09_NoseWrinkler;SAu10_UpperLipRaiser;SAu12_LipCornerPuller;SAu14_Dimpler;SAu15_LipCornerDepressor;SAu17_ChinRaiser;SAu20_LipStretcher;SAu23_LipTightener;SAu24_LipPressor;SAu25_LipsPart;SAu26_JawDrop;SAu27_MouthStretch;SAu43_EyesClosed;;
PP1;1;N;20120918T133000000;0,903377;0,802018;0,077507;0,035484;0,005505;0,002530;0,000981;0,001650;0,041101;0,113499;-1,784241;1,344066;0,049107;0,263393;0,330357;0,736607;0,000000;0,272321;0,022321;0,758929;0,049107;0,116071;0,000000;0,062500;0,816964;0,035714;0,058036;0,000000;0,116071;0,147321;0,517857;0,151786;0,000000;0,000000;0,000000;0,000000;0,000000;0,107143;0,000000;0,000000;0,401786;;
PP1;1;N;20120918T133100000;0,925266;0,865314;0,066000;0,011719;0,005351;0,005882;0,000806;0,000258;0,052020;-1,787106;-3,832197;1,987467;0,000000;0,017094;0,072650;0,572650;0,115385;0,282051;0,000000;0,739316;0,170940;0,038462;0,000000;0,115385;0,217949;0,341880;0,000000;0,000000;0,021368;0,055556;0,051282;0,102564;0,000000;0,000000;0,000000;0,038462;0,004274;0,000000;0,000000;0,000000;0,034188;;
PP1;1;N;20120918T133200000;0,917357;0,866958;0,063833;0,015286;0,008448;0,014176;0,000547;0,000794;0,043806;-6,082427;-6,173536;1,187221;0,000000;0,116667;0,150000;0,341667;0,283333;0,358333;0,025000;0,816667;0,120833;0,008333;0,020833;0,058333;0,279167;0,387500;0,008333;0,000000;0,050000;0,075000;0,095833;0,008333;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,233333;;
PP1;1;N;20120918T133300000;0,910778;0,865072;0,073541;0,006361;0,008636;0,003665;0,000227;0,000182;0,062905;-7,008756;-7,686495;2,818579;0,000000;0,138075;0,100418;0,347280;0,397490;0,267782;0,000000;0,698745;0,251046;0,012552;0,000000;0,058577;0,087866;0,020921;0,029289;0,000000;0,000000;0,062762;0,000000;0,071130;0,000000;0,125523;0,000000;0,217573;0,004184;0,000000;0,000000;0,000000;0,179916;;
PP1;1;N;20120918T133400000;0,928930;0,898195;0,051223;0,020693;0,003407;0,003295;0,000782;0,000341;0,028354;-2,019332;-4,268276;1,003078;0,000000;0,103896;0,103896;0,670996;0,173160;0,212121;0,000000;0,870130;0,051948;0,043290;0,000000;0,025974;0,346320;0,277056;0,000000;0,000000;0,000000;0,203463;0,000000;0,346320;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,051948;;
PP1;1;N;20120918T133500000;0,932977;0,955401;0,028105;0,025093;0,002616;0,003686;0,000286;0,000763;0,002882;2,370642;-4,876540;0,801751;0,000000;0,029536;0,071730;0,734177;0,016878;0,308017;0,000000;0,894515;0,012658;0,037975;0,016878;0,101266;0,396624;0,025316;0,000000;0,000000;0,046414;0,253165;0,000000;0,502110;0,000000;0,000000;0,000000;0,000000;0,025316;0,000000;0,000000;0,000000;0,253165;;
PP1;1;N;20120918T133600000;0,933145;0,959974;0,022216;0,019781;0,002662;0,005599;0,000258;0,000861;0,001829;0,167334;-5,892896;1,239134;0,000000;0,037500;0,033333;0,562500;0,008333;0,237500;0,000000;0,912500;0,037500;0,004167;0,000000;0,333333;0,362500;0,083333;0,000000;0,000000;0,020833;0,254167;0,016667;0,325000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,133333;;
PP1;1;N;20120918T133700000;0,921957;0,952583;0,024443;0,015342;0,005157;0,003093;0,000273;0,002091;0,007382;-1,331209;-7,126340;1,673287;0,000000;0,008547;0,064103;0,427350;0,047009;0,405983;0,000000;0,901709;0,042735;0,000000;0,000000;0,256410;0,666667;0,021368;0,000000;0,000000;0,153846;0,465812;0,089744;0,213675;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,029915;;
PP1;1;N;20120918T133800000;0,919010;0,872517;0,055440;0,011793;0,001761;0,004518;0,000632;0,000804;0,043485;-1,500364;-5,082898;0,225599;0,000000;0,083333;0,108333;0,629167;0,000000;0,170833;0,000000;0,933333;0,033333;0,008333;0,000000;0,166667;0,258333;0,208333;0,000000;0,000000;0,041667;0,475000;0,000000;0,183333;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,054167;;
PP1;1;N;20120918T133900000;0,902956;0,913239;0,060777;0,013855;0,005617;0,005033;0,000298;0,000975;0,045470;-6,613896;-6,510889;1,617636;0,000000;0,288703;0,326360;0,502092;0,037657;0,292887;0,000000;0,853556;0,075314;0,008368;0,000000;0,322176;0,426778;0,033473;0,004184;0,000000;0,062762;0,430962;0,029289;0,092050;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,523013;;
PP1;1;N;20120918T134000000;0,886241;0,907437;0,043196;0,015269;0,006716;0,003933;0,000339;0,000864;0,025869;-12,430192;-5,509172;2,372438;0,000000;0,587500;0,583333;0,691667;0,000000;0,233333;0,000000;0,875000;0,108333;0,000000;0,000000;0,183333;0,100000;0,091667;0,000000;0,000000;0,004167;0,154167;0,000000;0,145833;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,312500;;
PP1;1;N;20120918T134100000;0,899885;0,953284;0,017113;0,009164;0,007811;0,002761;0,000288;0,000970;0,002931;-6,592963;-7,227249;1,105320;0,000000;0,020833;0,016667;0,729167;0,000000;0,279167;0,000000;0,912500;0,058333;0,000000;0,000000;0,133333;0,325000;0,170833;0,000000;0,000000;0,037500;0,200000;0,008333;0,066667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,004167;;
PP1;1;N;20120918T134200000;0,901095;0,854864;0,050632;0,008445;0,003573;0,035196;0,000383;0,000492;0,040639;-5,338665;-7,167842;1,874629;0,004202;0,130252;0,222689;0,289916;0,084034;0,201681;0,016807;0,840336;0,109244;0,000000;0,000000;0,184874;0,096639;0,264706;0,029412;0,000000;0,033613;0,088235;0,000000;0,172269;0,000000;0,008403;0,000000;0,000000;0,000000;0,008403;0,000000;0,000000;0,457983;;
PP1;1;N;20120918T134300000;0,888233;0,845417;0,024967;0,003180;0,004498;0,008983;0,000632;0,000196;0,018655;-5,573273;-5,332948;1,133280;0,000000;0,000000;0,012500;0,204167;0,041667;0,050000;0,000000;0,708333;0,162500;0,116667;0,000000;0,045833;0,133333;0,820833;0,000000;0,000000;0,016667;0,000000;0,000000;0,016667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;;
PP1;1;N;20120918T134400000;0,893313;0,905441;0,027864;0,008495;0,007027;0,003429;0,000448;0,000381;0,013550;-6,593678;-7,347731;3,959251;0,000000;0,079167;0,029167;0,333333;0,304167;0,200000;0,000000;0,704167;0,283333;0,000000;0,000000;0,191667;0,137500;0,066667;0,000000;0,000000;0,216667;0,125000;0,000000;0,058333;0,050000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,004167;;
PP1;1;N;20120918T134500000;0,916955;0,920367;0,026298;0,017760;0,004008;0,004381;0,000862;0,002048;0,006653;-3,616605;-5,199842;2,158958;0,000000;0,188285;0,062762;0,866109;0,000000;0,175732;0,000000;0,903766;0,054393;0,000000;0,000000;0,556485;0,259414;0,008368;0,000000;0,000000;0,092050;0,280335;0,000000;0,066946;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,016736;;
PP1;1;N;20120918T134600000;0,900537;0,902607;0,021533;0,018360;0,007410;0,002887;0,000467;0,001980;-0,001305;-5,288119;-6,432981;2,858251;0,000000;0,025000;0,033333;0,737500;0,137500;0,245833;0,000000;0,845833;0,129167;0,008333;0,000000;0,133333;0,420833;0,054167;0,000000;0,000000;0,008333;0,258333;0,000000;0,100000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,020833;;
PP1;1;N;20120918T134700000;0,912303;0,880779;0,013544;0,018870;0,016074;0,002183;0,000376;0,002322;-0,014259;-1,190124;-5,765514;1,443300;0,000000;0,091667;0,062500;0,945833;0,000000;0,545833;0,000000;0,908333;0,050000;0,012500;0,000000;0,108333;0,770833;0,012500;0,000000;0,000000;0,158333;0,445833;0,000000;0,387500;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,012500;;
PP1;1;N;20120918T134800000;0,913245;0,886363;0,060794;0,004346;0,022887;0,004689;0,000600;0,000511;0,036010;-7,990625;-6,657941;2,735917;0,000000;0,225000;0,258333;0,608333;0,004167;0,216667;0,000000;0,812500;0,116667;0,000000;0,000000;0,004167;0,595833;0,195833;0,020833;0,000000;0,016667;0,145833;0,000000;0,133333;0,004167;0,000000;0,000000;0,025000;0,000000;0,000000;0,000000;0,000000;0,525000;;
PP1;1;N;20120918T134900000;0,902109;0,927659;0,026521;0,005920;0,048402;0,002037;0,000220;0,000995;-0,023555;-5,501612;-6,982495;3,020365;0,000000;0,102128;0,076596;0,940426;0,000000;0,608511;0,000000;0,897872;0,046809;0,004255;0,000000;0,034043;1,472340;0,000000;0,000000;0,000000;0,038298;0,136170;0,000000;0,110638;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,025532;;
PP1;1;N;20120918T135000000;0,912044;0,917911;0,012773;0,023054;0,030864;0,001376;0,000518;0,007773;-0,032716;-1,820326;-6,246733;1,145339;0,000000;0,033473;0,004184;0,866109;0,000000;0,594142;0,000000;0,891213;0,071130;0,000000;0,000000;0,020921;1,682008;0,000000;0,000000;0,000000;0,196653;0,744770;0,000000;0,292887;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,004184;;
PP1;1;N;20120918T135100000;0,913472;0,943330;0,027025;0,014741;0,029083;0,001504;0,000253;0,006628;-0,013217;-1,600754;-6,406341;1,367108;0,000000;0,125000;0,166667;0,929167;0,000000;0,770833;0,000000;0,937500;0,008333;0,008333;0,000000;0,029167;1,800000;0,000000;0,000000;0,000000;0,712500;1,020833;0,000000;0,216667;0,000000;0,004167;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,079167;;
PP1;1;N;20120918T135200000;0,930500;0,905162;0,016462;0,034123;0,008002;0,002339;0,001287;0,008867;-0,021776;3,793646;-5,514394;2,747025;0,000000;0,008403;0,000000;0,844538;0,012605;0,621849;0,000000;0,932773;0,008403;0,004202;0,000000;0,004202;1,436975;0,012605;0,000000;0,000000;0,201681;1,714286;0,000000;0,453782;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,016807;;
PP1;1;N;20120918T135300000;0,927303;0,945835;0,014257;0,011717;0,008349;0,004703;0,000639;0,004328;-0,003479;-0,784609;-5,327261;2,005521;0,000000;0,008333;0,004167;0,891667;0,000000;0,600000;0,000000;0,950000;0,000000;0,012500;0,000000;0,241667;0,762500;0,112500;0,000000;0,000000;0,408333;0,975000;0,012500;0,320833;0,000000;0,004167;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,020833;;
PP1;1;N;20120918T135400000;0,926949;0,942789;0,018072;0,017676;0,004223;0,009565;0,000553;0,002284;-0,000799;0,637305;-5,799698;2,359656;0,012876;0,034335;0,012876;0,630901;0,025751;0,313305;0,000000;0,892704;0,025751;0,008584;0,000000;0,304721;0,244635;0,017167;0,000000;0,000000;0,257511;0,759657;0,008584;0,193133;0,000000;0,000000;0,000000;0,000000;0,000000;0,025751;0,000000;0,000000;0,051502;;
PP1;1;N;20120918T135500000;0,915064;0,853208;0,020857;0,040385;0,002886;0,014656;0,000963;0,001898;-0,020097;1,322903;-3,018830;-0,971983;0,000000;0,089686;0,134529;0,587444;0,000000;0,278027;0,053812;0,932735;0,017937;0,000000;0,000000;0,134529;0,569507;0,578475;0,004484;0,000000;0,017937;0,739910;0,026906;0,825112;0,000000;0,000000;0,000000;0,004484;0,000000;0,000000;0,000000;0,000000;0,076233;;
PP1;1;N;20120918T135600000;0,909215;0,894231;0,024943;0,010304;0,010194;0,003926;0,000932;0,000303;0,007230;-5,365420;-5,061439;2,485215;0,000000;0,089286;0,044643;0,758929;0,000000;0,419643;0,000000;0,915179;0,004464;0,022321;0,000000;0,031250;0,500000;0,031250;0,000000;0,004464;0,049107;0,031250;0,075893;0,084821;0,000000;0,000000;0,000000;0,004464;0,000000;0,000000;0,000000;0,000000;0,022321;;
PP1;1;N;20120918T135700000;0,899179;0,669893;0,278053;0,020190;0,001694;0,001675;0,001526;0,001184;0,256195;-5,047445;-1,113816;-2,255996;0,165138;0,206422;0,160550;0,454128;0,000000;0,000000;0,013761;0,798165;0,000000;0,146789;0,000000;0,022936;0,000000;0,151376;0,123853;0,000000;0,027523;0,380734;0,518349;0,298165;0,000000;0,000000;0,000000;0,000000;0,000000;0,564220;0,000000;0,000000;0,050459;;
PP1;1;N;20120918T135800000;0,917890;0,888868;0,044412;0,009394;0,003973;0,008977;0,000628;0,000427;0,032372;-4,580269;-3,003991;1,840332;0,000000;0,133891;0,092050;0,292887;0,000000;0,108787;0,041841;0,941423;0,025105;0,000000;0,000000;0,000000;0,121339;0,677824;0,000000;0,000000;0,188285;0,083682;0,000000;0,225941;0,012552;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,117155;;
PP1;1;N;20120918T135900000;0,926404;0,970189;0,014802;0,017630;0,004019;0,006496;0,000207;0,000693;-0,004751;0,515234;-4,259675;1,088798;0,004167;0,066667;0,020833;0,550000;0,000000;0,275000;0,000000;0,866667;0,004167;0,008333;0,000000;0,162500;0,287500;0,125000;0,000000;0,000000;0,112500;0,070833;0,000000;0,350000;0,000000;0,012500;0,000000;0,000000;0,000000;0,004167;0,000000;0,000000;0,000000;;
PP1;1;N;20120918T140000000;0,921082;0,885526;0,044342;0,025091;0,001875;0,009136;0,000674;0,001052;0,018975;5,162865;-4,612110;3,236929;0,021645;0,056277;0,069264;0,307359;0,038961;0,199134;0,000000;0,844156;0,034632;0,025974;0,000000;0,203463;0,207792;0,060606;0,008658;0,000000;0,138528;0,593074;0,125541;0,246753;0,012987;0,025974;0,000000;0,000000;0,025974;0,038961;0,000000;0,000000;0,116883;;
PP1;1;N;20120918T140100000;0,923578;0,949813;0,032004;0,019937;0,001480;0,007871;0,000240;0,000850;0,011904;4,236160;-5,038176;4,858640;0,000000;0,023256;0,176744;0,395349;0,000000;0,269767;0,000000;0,920930;0,013953;0,004651;0,000000;0,474419;0,297674;0,106977;0,004651;0,000000;0,079070;0,655814;0,000000;0,441860;0,023256;0,000000;0,000000;0,013953;0,000000;0,000000;0,000000;0,000000;0,097674;;
PP1;1;N;20120918T140200000;0,922022;0,969779;0,027260;0,015711;0,001671;0,002109;0,000167;0,001953;0,011399;4,147607;-3,440255;3,160373;0,000000;0,046414;0,257384;0,514768;0,004219;0,151899;0,000000;0,932489;0,012658;0,008439;0,000000;0,126582;0,206751;0,000000;0,000000;0,000000;0,282700;0,763713;0,000000;0,160338;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,202532;;
PP1;1;N;20120918T140300000;0,915397;0,828084;0,032666;0,033083;0,002384;0,019318;0,001690;0,002499;-0,001076;1,938780;-3,461289;1,952663;0,000000;0,086580;0,199134;0,450216;0,086580;0,229437;0,056277;0,948052;0,000000;0,000000;0,034632;0,220779;0,285714;0,536797;0,051948;0,000000;0,415584;1,225108;0,034632;0,506494;0,008658;0,004329;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,164502;;
PP1;1;N;20120918T140400000;0,916661;0,937730;0,029789;0,004901;0,003674;0,004508;0,000912;0,000425;0,022454;-2,952871;-6,585891;1,977909;0,000000;0,137500;0,066667;0,491667;0,012500;0,116667;0,000000;0,950000;0,025000;0,004167;0,000000;0,029167;0,037500;0,304167;0,041667;0,000000;0,016667;0,208333;0,033333;0,120833;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,112500;;
PP1;1;N;20120918T140500000;0,927393;0,934205;0,016862;0,037933;0,003735;0,001779;0,001159;0,002511;-0,021409;4,374520;-6,258102;2,988668;0,000000;0,004167;0,070833;0,712500;0,000000;0,329167;0,000000;0,945833;0,008333;0,000000;0,000000;0,012500;0,608333;0,045833;0,029167;0,000000;0,204167;1,258333;0,000000;0,350000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,020833;;
PP1;1;N;20120918T140600000;0,887862;0,885076;0,028657;0,042331;0,007423;0,002495;0,000557;0,013950;-0,014763;-1,931658;-7,895509;1,917097;0,004695;0,037559;0,122066;0,502347;0,009390;0,183099;0,004695;0,882629;0,061033;0,000000;0,037559;0,000000;0,488263;0,000000;0,000000;0,000000;0,000000;0,591549;0,014085;0,122066;0,000000;0,000000;0,000000;0,000000;0,000000;0,004695;0,000000;0,000000;0,075117;;
PP1;1;N;20120918T140700000;0,920286;0,961352;0,013652;0,015433;0,003702;0,001233;0,001419;0,002084;-0,002473;0,882112;-9,322553;3,202898;0,000000;0,000000;0,079498;0,502092;0,016736;0,430962;0,000000;0,920502;0,062762;0,000000;0,000000;0,016736;0,301255;0,012552;0,000000;0,000000;0,117155;1,878661;0,033473;0,338912;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,008368;;
PP1;2;R;20120918T142800000;0,906190;0,834903;0,050316;0,000306;0,010375;0,003029;0,001143;0,000171;0,039932;-14,737647;-4,575736;0,411224;0,000000;0,029167;0,004167;0,000000;0,025000;0,000000;0,000000;0,958333;0,012500;0,004167;0,000000;0,000000;0,000000;0,529167;0,000000;0,000000;0,004167;0,270833;0,000000;0,004167;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;;
PP1;2;R;20120918T142900000;0,912270;0,615333;0,042639;0,000170;0,008948;0,010035;0,001175;0,000148;0,033691;-11,523349;-4,513128;3,373901;0,000000;0,016736;0,000000;0,000000;0,000000;0,000000;0,000000;0,983264;0,000000;0,000000;0,000000;0,000000;0,000000;1,288703;0,000000;0,000000;0,230126;0,025105;0,000000;0,000000;0,004184;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;;
PP1;2;R;20120918T143000000;0,917577;0,898919;0,060259;0,000421;0,014692;0,001421;0,000587;0,000202;0,045563;-13,041487;-4,984813;3,778309;0,000000;0,020833;0,016667;0,000000;0,000000;0,000000;0,000000;0,962500;0,000000;0,004167;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,029167;0,333333;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;;
PP1;2;R;20120918T143100000;0,914289;0,896708;0,075377;0,002093;0,011941;0,002035;0,001715;0,000289;0,061528;-12,193144;-4,664892;3,306310;0,000000;0,108333;0,054167;0,000000;0,141667;0,000000;0,004167;0,979167;0,000000;0,012500;0,012500;0,000000;0,000000;0,016667;0,000000;0,000000;0,175000;0,841667;0,000000;0,037500;0,000000;0,000000;0,000000;0,000000;0,016667;0,000000;0,000000;0,000000;0,000000;;
PP1;2;R;20120918T143200000;0,917699;0,824370;0,064240;0,000408;0,011762;0,002744;0,000313;0,000172;0,052478;-12,083692;-4,341464;2,882017;0,000000;0,000000;0,000000;0,000000;0,062762;0,000000;0,000000;0,983264;0,000000;0,000000;0,000000;0,000000;0,000000;0,029289;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;;
PP1;2;R;20120918T143300000;0,893737;0,883340;0,070311;0,000577;0,015623;0,002361;0,000194;0,000220;0,054688;-14,054333;-5,901704;8,210308;0,000000;0,545833;0,512500;0,000000;0,029167;0,000000;0,000000;0,991667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,770833;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,008333;;
PP1;2;T;20120918T143600000;0,912135;0,661038;0,101934;0,013877;0,046793;0,008881;0,002839;0,000592;0,045870;1,163357;-3,270484;1,725228;0,034826;0,223881;0,069652;0,203980;0,000000;0,134328;0,024876;0,895522;0,034826;0,009950;0,000000;0,000000;0,412935;0,398010;0,039801;0,000000;0,079602;0,582090;0,298507;0,253731;0,000000;0,000000;0,000000;0,000000;0,000000;0,054726;0,000000;0,000000;0,059701;;
PP1;2;T;20120918T143700000;0,942397;0,919370;0,023400;0,001097;0,004003;0,011349;0,001020;0,000175;0,018933;-4,280590;-4,884915;3,515745;0,000000;0,000000;0,000000;0,194805;0,242424;0,099567;0,025974;0,952381;0,008658;0,004329;0,000000;0,000000;0,212121;0,800866;0,000000;0,000000;0,082251;0,051948;0,000000;0,112554;0,025974;0,000000;0,000000;0,004329;0,000000;0,000000;0,000000;0,000000;0,000000;;
PP1;2;T;20120918T143800000;0,929274;0,822705;0,037806;0,004267;0,004809;0,014853;0,004721;0,000217;0,029001;-5,469841;-2,759374;2,968646;0,125000;0,020833;0,012500;0,350000;0,133333;0,091667;0,029167;0,941667;0,020833;0,012500;0,000000;0,037500;0,000000;0,662500;0,000000;0,000000;0,058333;0,095833;0,000000;0,037500;0,004167;0,000000;0,000000;0,000000;0,000000;0,266667;0,000000;0,000000;0,020833;;
PP1;2;T;20120918T143900000;0,940650;0,940751;0,024205;0,009933;0,003617;0,007610;0,000763;0,000213;0,011988;0,833254;-1,778769;1,603025;0,000000;0,004167;0,016667;0,666667;0,004167;0,333333;0,000000;0,958333;0,000000;0,008333;0,000000;0,012500;0,100000;0,412500;0,000000;0,000000;0,004167;0,104167;0,000000;0,087500;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,008333;;
