PP,Blok,Condition,timestamp,SnMouseAct,SnLeftClicked,SnRightClicked,SnDoubleClicked,SnWheel,SnDragged,SnMouseDistance,SnMouseDistance,SnKeyStrokes,SnChars,SnSpecialKeys,SnDirectionKeys,SnErrorKeys,SnShortcutKeys,SnSpaces,SnAppChange,SnTabfocusChange
PP1,1,N,20120918T133800000,15,10,0,1,0,2,7997001313333640,7997,62,34,28,9,4,0,9,7,0
PP1,1,N,20120918T133900000,6,4,0,0,0,1,4638986272229890,4639,103,67,36,0,7,0,14,2,4
PP1,1,N,20120918T134000000,11,6,0,1,2,1,7144703826014630,7145,123,87,36,0,10,1,18,3,1
PP1,1,N,20120918T134100000,14,8,0,0,0,3,8418787048244690,8419,66,47,19,0,6,1,9,2,0
PP1,1,N,20120918T134200000,35,12,0,0,5,9,2485729036169700,2486,73,56,17,0,2,0,11,3,0
PP1,1,N,20120918T134300000,26,15,0,0,1,5,22095749793155700,22096,63,35,28,0,7,0,9,5,2
PP1,1,N,20120918T134400000,37,10,0,0,8,9,2932035590702790,2932,17,15,2,0,0,0,0,0,0
PP1,1,N,20120918T134500000,7,4,0,0,1,1,6068441731672360,6068,64,40,24,0,10,0,8,1,0
PP1,1,N,20120918T134600000,20,10,0,0,2,4,16718890606849000,16719,107,76,31,0,1,0,18,3,0
PP1,1,N,20120918T134700000,7,5,0,0,0,1,5810877990268710,5811,141,88,53,0,13,0,23,5,0
PP1,1,N,20120918T134800000,10,4,0,0,0,3,7430615652826350,7431,164,117,47,0,8,0,27,1,0
PP1,1,N,20120918T134900000,19,15,0,0,4,0,12869706334427700,12870,69,40,29,0,6,0,10,4,4
PP1,1,N,20120918T135000000,14,8,0,0,0,3,12036332510406000,12036,126,92,34,0,3,0,22,3,1
PP1,1,N,20120918T135100000,5,3,0,0,0,1,46857388008926200,46857,123,82,41,0,4,0,17,2,0
PP1,1,N,20120918T135200000,8,6,0,0,0,1,669295764993331,669,133,97,36,0,5,0,21,5,0
PP1,1,N,20120918T135300000,3,3,0,0,0,0,2453098317870600,2453,129,73,56,4,11,1,18,1,0
PP1,1,N,20120918T135400000,9,4,0,0,3,1,5182302727241230,5182,163,115,48,7,5,0,24,0,0
PP1,1,N,20120918T135500000,0,0,0,0,0,0,0,0,183,141,42,0,5,0,27,0,0
PP1,1,N,20120918T135600000,28,16,0,2,10,0,12353065002820300,12353,21,14,7,0,0,1,2,4,3
PP1,1,N,20120918T135700000,37,19,0,0,8,5,18088697992980300,18089,21,14,7,0,1,0,3,7,2
PP1,1,N,20120918T135800000,7,4,0,0,1,1,23492837445302700,23493,102,80,22,0,0,0,19,0,0
PP1,1,N,20120918T135900000,16,9,0,0,7,0,9349803567165190,9350,115,72,43,0,21,0,17,4,2
PP1,1,N,20120918T140000000,0,0,0,0,0,0,0,0,144,110,34,0,9,0,22,0,0
PP1,1,N,20120918T140100000,0,0,0,0,0,0,0,0,184,140,44,0,10,0,28,0,0
PP1,1,N,20120918T140200000,0,0,0,0,0,0,0,0,130,102,28,0,5,0,21,0,0
PP1,1,N,20120918T140300000,0,0,0,0,0,0,0,0,206,164,42,0,7,0,29,0,0
PP1,1,N,20120918T140400000,20,9,0,0,7,2,10204769174817300,10205,33,24,9,0,0,0,7,5,2
PP1,1,N,20120918T140500000,21,14,0,1,0,3,14446131153071800,14446,47,18,29,0,1,0,9,16,0
PP1,1,N,20120918T140600000,6,3,0,0,1,1,4846073218232860,4846,108,72,36,9,10,0,11,1,0
PP1,1,N,20120918T140700000,7,7,0,0,0,0,5628514179512560,5629,66,40,26,0,8,0,13,7,0
PP1,2,R,20120918T142800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,2,R,20120918T142900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,2,R,20120918T143000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,2,R,20120918T143100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,2,R,20120918T143200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,2,R,20120918T143300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,2,T,20120918T143600000,12,7,0,4,0,0,6031193540793860,6031,56,33,23,0,12,0,4,7,1
PP1,2,T,20120918T143700000,14,4,1,0,9,0,9144832407998200,9145,7,0,7,0,2,0,1,1,2
PP1,2,T,20120918T143800000,23,7,0,0,14,1,1313888744580080,1314,15,10,5,0,0,0,2,3,3
PP1,2,T,20120918T143900000,8,7,0,0,1,0,62011257769859900,62011,34,28,6,0,0,0,5,7,0
PP1,2,T,20120918T144000000,3,3,0,0,0,0,23252547052746900,23253,111,70,41,13,11,0,16,4,0
PP1,2,T,20120918T144100000,18,11,0,0,7,0,12970163926981300,12970,89,70,19,0,2,0,11,10,2
PP1,2,T,20120918T144200000,22,11,0,0,9,1,13006574456212100,13007,88,69,19,0,0,0,12,6,3
PP1,2,T,20120918T144300000,29,10,0,0,15,2,18565819897638000,18566,25,11,14,0,2,0,3,6,2
PP1,2,T,20120918T144400000,19,8,0,0,11,0,12333712543266100,12334,56,39,17,0,2,0,10,6,2
PP1,2,T,20120918T144500000,12,6,0,0,6,0,7474436200344530,7474,15,11,4,0,0,0,2,2,4
PP1,2,T,20120918T144600000,27,10,0,0,15,1,18096551372017900,18097,0,0,0,0,0,0,0,4,4
PP1,2,T,20120918T144700000,13,10,0,0,1,1,956383492090942,956,118,89,29,0,5,0,17,10,0
PP1,2,T,20120918T144800000,13,8,0,0,5,0,961764356093378,962,78,60,18,0,3,0,10,7,0
PP1,2,T,20120918T144900000,2,2,0,0,0,0,11156181911703300,11156,147,116,31,0,3,1,22,1,0
PP1,2,T,20120918T145000000,22,17,0,3,2,0,11847596454888500,11848,69,44,25,9,3,0,9,10,1
PP1,2,T,20120918T145100000,9,5,0,0,0,2,4632838687280860,4633,0,0,0,0,0,0,0,0,0
PP1,2,T,20120918T145200000,5,3,0,0,2,0,3468993833134940,3469,0,0,0,0,0,0,0,4,0
PP1,2,T,20120918T145300000,15,8,0,0,7,0,9052294553655420,9052,0,0,0,0,0,0,0,8,1
PP1,2,T,20120918T145400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,2,T,20120918T145500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,2,T,20120918T145600000,12,9,0,0,3,0,8890797789446850,8891,0,0,0,0,0,0,0,8,0
PP1,2,T,20120918T145700000,10,10,0,0,0,0,8118125686352690,8118,0,0,0,0,0,0,0,8,0
PP1,2,T,20120918T145800000,3,3,0,0,0,0,2492235269707960,2492,0,0,0,0,0,0,0,3,0
PP1,2,T,20120918T145900000,9,6,0,1,2,0,5809353304790500,5809,0,0,0,0,0,0,0,5,2
PP1,2,T,20120918T150000000,27,13,4,1,1,4,15932472920037900,15932,0,0,0,0,0,0,0,5,8
PP1,2,T,20120918T150100000,22,10,0,0,0,6,17599226058899200,17599,0,0,0,0,0,0,0,0,0
PP1,2,T,20120918T150200000,35,20,1,0,0,7,260827555495533,261,0,0,0,0,0,0,0,2,1
PP1,3,R,20120918T152300000,4,2,0,2,0,0,3357684333540670,3358,0,0,0,0,0,0,0,2,1
PP1,3,R,20120918T152400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,3,R,20120918T152500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,3,R,20120918T152600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,3,R,20120918T152700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,3,R,20120918T152800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,3,I,20120918T153300000,23,9,0,2,4,4,15518963641872500,15519,57,41,16,0,2,0,5,5,4
PP1,3,I,20120918T153400000,15,6,0,0,9,0,11507131440327800,11507,62,41,21,0,0,0,10,6,0
PP1,3,I,20120918T153500000,0,0,0,0,0,0,0,0,123,90,33,7,4,0,18,0,0
PP1,3,I,20120918T153600000,3,2,0,0,1,0,2207419466013580,2207,125,98,27,0,3,0,20,2,0
PP1,3,I,20120918T153700000,18,4,0,0,14,0,15429334820094400,15429,59,41,18,0,1,0,11,3,2
PP1,3,I,20120918T153800000,17,13,0,0,0,2,7393342855209630,7393,64,45,19,0,2,1,12,3,0
PP1,3,I,20120918T153900000,12,10,0,0,0,1,697754015984974,698,67,35,32,0,6,0,6,8,3
PP1,3,I,20120918T154000000,13,7,0,0,0,3,6308869904881620,6309,69,38,31,14,1,0,7,1,0
PP1,3,I,20120918T154100000,36,12,0,0,20,2,23817531687250900,23818,33,19,14,1,1,0,6,8,1
PP1,3,I,20120918T154200000,7,3,0,0,0,2,292793143080928,293,136,104,32,4,9,0,15,0,0
PP1,3,I,20120918T154300000,8,6,0,0,2,0,4756963281702890,4757,86,63,23,0,3,0,13,2,0
PP1,3,I,20120918T154400000,14,3,0,0,7,2,9703812274164770,9704,58,44,14,0,7,0,6,2,0
PP1,3,I,20120918T154500000,13,5,0,0,6,1,9149473767845000,9149,93,75,18,0,1,0,12,4,0
PP1,3,I,20120918T154600000,0,0,0,0,0,0,0,0,107,77,30,0,6,0,17,0,0
PP1,3,I,20120918T154700000,3,2,0,0,1,0,2752846428413420,2753,131,106,25,0,1,0,19,2,0
PP1,3,I,20120918T154800000,3,1,0,0,0,1,150304992023528,150,166,118,48,0,6,0,27,0,0
PP1,3,I,20120918T154900000,5,5,0,0,0,0,3487353959231880,3487,116,93,23,0,1,0,17,3,0
PP1,3,I,20120918T155000000,7,5,0,2,0,0,27089068104382100,27089,140,112,28,0,1,1,20,2,0
PP1,3,I,20120918T155100000,10,5,0,3,2,0,5712729041747640,5713,103,81,22,0,4,0,13,3,1
PP1,3,I,20120918T155200000,21,17,0,0,4,0,12749424234494800,12749,44,31,13,0,4,0,5,7,2
PP1,3,I,20120918T155300000,3,3,0,0,0,0,2333011428902660,2333,114,79,35,3,11,0,15,4,0
PP1,3,I,20120918T155400000,0,0,0,0,0,0,0,0,192,152,40,0,6,0,31,0,0
PP1,3,I,20120918T155500000,0,0,0,0,0,0,0,0,178,135,43,0,6,0,31,0,0
PP1,3,I,20120918T155600000,0,0,0,0,0,0,0,0,172,123,49,7,11,0,27,0,0
PP1,3,I,20120918T155700000,0,0,0,0,0,0,0,0,153,119,34,0,5,0,23,0,0
PP1,3,I,20120918T155800000,0,0,0,0,0,0,0,0,209,157,52,9,6,0,33,0,0
PP1,3,I,20120918T155900000,5,3,0,0,0,1,2784545932322490,2785,138,97,41,7,6,0,25,1,0
PP1,3,I,20120918T160000000,5,5,0,0,0,0,31095946628734700,31096,120,73,47,0,12,0,19,5,0
PP1,3,I,20120918T160100000,0,0,0,0,0,0,0,0,204,152,52,0,12,0,34,0,0
PP1,3,I,20120918T160200000,0,0,0,0,0,0,0,0,229,178,51,0,13,0,33,0,0
PP1,3,I,20120918T160300000,5,1,0,0,4,0,31270736268948300,31271,88,71,17,0,4,0,11,0,0
PP1,3,I,20120918T160400000,11,9,0,0,2,0,4921090035015070,4921,6,4,2,0,0,0,1,2,0
PP1,3,I,20120918T160500000,30,18,3,1,2,3,18301650670585000,18302,25,19,6,0,0,1,1,15,6
PP1,3,I,20120918T160600000,9,8,0,0,1,0,5020602311347470,5021,64,40,24,0,2,0,7,6,0
PP1,3,I,20120918T160700000,12,8,0,0,0,2,7389393818360550,7389,77,46,31,7,4,4,7,5,0
PP1,3,I,20120918T160800000,20,17,0,1,0,1,14417505195811400,14418,64,37,27,0,14,3,1,11,0
PP1,3,I,20120918T160900000,17,11,0,1,1,2,12449872601129800,12450,66,41,25,0,4,0,7,8,0
PP1,3,I,20120918T161000000,7,7,0,0,0,0,5513239646859490,5513,68,44,24,7,6,0,6,6,0
PP1,3,I,20120918T161100000,14,12,0,0,0,1,977980586701839,978,61,45,16,0,1,0,5,9,0
PP1,3,I,20120918T161200000,18,12,0,0,4,1,11602947042734500,11603,52,28,24,0,1,3,5,7,1
PP1,3,I,20120918T161300000,21,13,0,0,4,2,1515235148512030,1515,21,13,8,0,2,1,3,4,0
PP1,3,I,20120918T161400000,0,0,0,0,0,0,0,0,181,128,53,0,18,0,32,0,0
PP2,1,R,20120919T131200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP2,1,R,20120919T131300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP2,1,R,20120919T131400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP2,1,R,20120919T131500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP2,1,R,20120919T131600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP2,1,R,20120919T131700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP2,1,N,20120919T132100000,11,7,0,0,0,2,5643795090070700,5644,69,39,30,1,11,0,8,0,0
PP2,1,N,20120919T132200000,16,11,2,1,2,0,8571737203373160,8572,48,34,14,0,6,0,2,5,9
PP2,1,N,20120919T132300000,20,12,3,0,5,0,918251948795583,918,18,6,12,7,0,0,3,0,6
PP2,1,N,20120919T132400000,18,9,1,0,6,1,12065301708114300,12065,6,0,6,0,0,2,0,2,2
PP2,1,N,20120919T132500000,10,2,0,0,6,1,5836034903553580,5836,0,0,0,0,0,0,0,0,3
PP2,1,N,20120919T132600000,14,7,0,0,3,2,9800166354526480,9800,10,0,10,0,0,4,0,4,0
PP2,1,N,20120919T132700000,19,10,1,0,6,1,14075439549343800,14075,2,0,2,0,0,2,0,6,1
PP2,1,N,20120919T132800000,24,8,0,0,12,2,13291799978685100,13292,5,0,5,0,5,0,0,2,0
PP2,1,N,20120919T132900000,29,15,0,0,6,4,19016857422495700,19017,7,0,7,0,0,4,0,6,0
PP2,1,N,20120919T133000000,10,4,0,0,4,1,6191050727662610,6191,0,0,0,0,0,0,0,1,3
PP2,1,N,20120919T133100000,32,10,0,0,20,1,20232671377010900,20233,8,3,5,0,0,2,0,2,5
PP2,1,N,20120919T133200000,8,4,0,0,4,0,5249945303005320,5250,59,33,26,0,18,0,5,3,3
PP2,1,N,20120919T133300000,10,5,0,0,3,1,5595525745028910,5596,15,12,3,0,0,0,2,1,1
PP2,1,N,20120919T133400000,0,0,0,0,0,0,0,0,104,39,65,0,52,0,12,0,0
PP2,1,N,20120919T133500000,0,0,0,0,0,0,0,0,92,64,28,0,13,0,14,0,0
PP2,1,N,20120919T133600000,2,2,0,0,0,0,13079268837695100,13079,136,59,77,0,61,0,13,0,0
PP2,1,N,20120919T133700000,1,1,0,0,0,0,8682315359395780,8682,99,48,51,0,34,0,9,0,0
PP2,1,N,20120919T133800000,5,3,2,0,0,0,3039331374968170,3039,105,70,35,0,21,0,11,4,2
PP2,1,N,20120919T133900000,11,6,3,0,0,1,904388530929931,904,82,52,30,0,12,0,16,6,3
PP2,1,N,20120919T134000000,13,9,2,0,0,1,923562374520365,924,103,56,47,22,7,2,10,4,2
PP2,1,N,20120919T134100000,6,5,1,0,0,0,4052929755858800,4053,61,37,24,2,14,0,7,2,1
PP2,1,N,20120919T134200000,4,2,0,0,0,1,3726555432559710,3727,80,58,22,0,12,0,9,0,0
PP2,1,N,20120919T134300000,14,2,1,0,11,0,7259300173534580,7259,84,58,26,0,15,0,11,2,1
PP2,1,N,20120919T134400000,31,8,0,0,17,3,14361268618987500,14361,16,0,16,0,0,6,3,0,0
PP2,1,N,20120919T134500000,21,5,0,0,12,2,9776826036937610,9777,90,57,33,0,9,4,16,0,0
PP2,1,N,20120919T134600000,11,4,0,0,3,2,591153689893724,591,21,9,12,0,3,2,3,0,0
PP2,1,N,20120919T134700000,21,11,0,0,2,4,1283247904541760,1283,25,17,8,0,2,2,3,6,2
PP2,1,N,20120919T134800000,12,10,0,0,0,1,797106804912709,797,63,47,16,0,2,3,9,3,1
PP2,1,N,20120919T134900000,0,0,0,0,0,0,0,0,52,38,14,0,9,0,5,0,0
PP2,1,N,20120919T135000000,17,13,0,0,0,2,1379666383579000,1380,22,15,7,0,2,0,3,9,1
PP2,1,N,20120919T135100000,13,6,0,0,5,1,8944733097900430,8945,2,0,2,0,0,2,0,4,2
PP2,1,N,20120919T135200000,3,2,0,0,1,0,17806578451540200,17807,104,69,35,0,11,0,20,2,1
PP2,1,N,20120919T135300000,10,5,0,0,1,2,76419940445061600,76420,58,36,22,0,6,2,12,1,0
PP2,1,N,20120919T135400000,5,0,0,0,5,0,27543297885765100,27543,108,69,39,0,24,0,15,0,0
PP2,1,N,20120919T135500000,12,6,0,0,2,2,8074380283986150,8074,93,68,25,0,7,0,16,0,0
PP2,1,N,20120919T135600000,5,1,0,0,4,0,18660230103422200,18660,49,33,16,0,6,0,7,0,0
PP2,1,N,20120919T135700000,7,5,0,0,0,1,4694140959980740,4694,60,39,21,0,6,1,11,0,0
PP2,1,N,20120919T135800000,32,16,0,0,0,8,17012774528545300,17013,43,10,33,11,14,0,6,0,0
PP2,1,N,20120919T135900000,4,2,0,0,0,1,2488798623074170,2489,56,13,43,0,36,2,4,0,0
PP2,1,N,20120919T140000000,0,0,0,0,0,0,0,0,137,90,47,0,17,0,25,0,0
PP2,1,N,20120919T140100000,31,12,1,0,2,8,25439607652099000,25440,45,23,22,0,11,4,5,2,1
PP2,1,N,20120919T140200000,25,11,0,0,10,2,15571930925090400,15572,1,0,1,0,1,0,0,2,5
PP2,1,N,20120919T140300000,24,5,0,0,17,1,14976934181501200,14977,2,0,2,0,0,2,0,2,0
PP2,1,N,20120919T140400000,28,4,0,0,22,1,18753788306518700,18754,0,0,0,0,0,0,0,0,2
PP2,2,R,20120919T142300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP2,2,R,20120919T142400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP2,2,R,20120919T142500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP2,2,R,20120919T142600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP2,2,R,20120919T142700000,1,0,0,0,0,0,11865251788310200,11865,0,0,0,0,0,0,0,0,0
PP2,2,R,20120919T142800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP2,2,I,20120919T143100000,17,9,0,2,2,2,12699623574745400,12700,1,0,1,0,0,0,0,8,2
PP2,2,I,20120919T143200000,28,13,1,0,8,3,1710171793053830,1710,5,0,5,0,1,2,0,3,1
PP2,2,I,20120919T143300000,23,10,0,0,5,4,10257906591584600,10258,7,0,7,0,4,2,1,2,1
PP2,2,I,20120919T143400000,28,10,3,0,9,3,1610390458154000,1610,15,4,11,0,4,4,1,1,4
PP2,2,I,20120919T143500000,11,7,0,0,2,1,6108020037008960,6108,4,0,4,0,0,2,0,3,0
PP2,2,I,20120919T143600000,20,5,0,0,13,1,10645774661076400,10646,0,0,0,0,0,0,0,2,1
PP2,2,I,20120919T143700000,31,12,0,0,9,5,13702142266663000,13702,5,0,5,0,1,4,0,3,1
PP2,2,I,20120919T143800000,22,10,0,0,4,4,10115217888780400,10115,2,0,2,0,2,0,0,1,0
PP2,2,I,20120919T143900000,31,17,0,0,5,4,15316204327106900,15316,11,0,11,0,6,2,0,3,1
PP2,2,I,20120919T144000000,45,20,3,0,8,7,22041252630989300,22041,32,15,17,0,13,0,4,9,4
PP2,2,I,20120919T144100000,24,8,0,0,8,4,15162050065742700,15162,61,27,34,12,11,0,7,0,0
PP2,2,I,20120919T144200000,36,20,0,0,2,7,2142234737385280,2142,7,0,7,0,5,0,1,0,0
PP2,2,I,20120919T144300000,25,21,0,1,1,1,14909053020003600,14909,30,15,15,0,3,0,5,5,7
PP2,2,I,20120919T144400000,11,8,0,0,1,1,7589685785626550,7590,21,17,4,0,0,1,2,3,6
PP2,2,I,20120919T144500000,11,8,0,1,2,0,6307745870774760,6308,7,6,1,0,0,1,0,6,1
PP2,2,I,20120919T144600000,25,19,0,0,0,3,14892131479870100,14892,18,8,10,0,0,5,1,5,6
PP2,2,I,20120919T144700000,16,14,0,2,0,0,7890571887611320,7891,70,47,23,0,6,0,8,8,0
PP2,2,I,20120919T144800000,27,15,2,1,7,1,21541356762186500,21541,36,29,7,0,2,0,4,8,5
PP2,2,I,20120919T144900000,17,8,0,0,2,3,999066081855581,999,5,0,5,0,0,5,0,4,0
PP2,2,I,20120919T145000000,15,10,0,0,1,2,93314623300042,93,16,5,11,0,1,5,2,5,0
PP2,2,I,20120919T145100000,32,21,2,0,1,4,1728915068934040,1729,29,0,29,6,17,0,4,6,3
PP2,2,I,20120919T145200000,20,9,0,0,5,3,12802267059893000,12802,8,0,8,0,5,1,2,2,1
PP2,2,I,20120919T145300000,32,14,2,0,6,5,1943037880240840,1943,4,0,4,0,0,4,0,5,2
PP2,2,I,20120919T145400000,22,12,1,1,4,2,14290575548447800,14291,23,6,17,0,8,2,0,5,1
PP2,2,I,20120919T145500000,12,8,0,0,2,1,8316782344581960,8317,49,30,19,0,9,0,3,3,0
PP2,2,I,20120919T145600000,29,17,2,0,6,2,16688442941794500,16688,31,19,12,0,7,0,2,5,6
PP2,2,I,20120919T145700000,26,19,0,0,1,3,18062603564481700,18063,9,0,9,0,5,5,0,8,0
PP2,2,I,20120919T145800000,25,15,0,0,5,2,1737005518938120,1737,5,0,5,0,1,5,0,4,2
PP2,2,I,20120919T145900000,52,25,1,1,1,12,45705462392444100,45705,11,5,6,0,3,4,0,5,2
PP2,2,I,20120919T150000000,45,26,5,0,0,7,2481178881846210,2481,9,0,9,2,4,5,0,11,5
PP2,2,I,20120919T150100000,35,16,2,2,11,2,19415155654695000,19415,10,7,3,0,1,0,0,11,4
PP2,2,I,20120919T150200000,37,12,2,2,17,2,15245593863573900,15246,0,0,0,0,0,0,0,3,5
PP2,2,I,20120919T150300000,52,27,3,3,3,8,30023370669163600,30023,2,0,2,0,1,1,0,14,6
PP2,2,I,20120919T150400000,58,31,6,0,1,10,29706199506677200,29706,1,0,1,0,0,1,0,12,6
PP2,2,I,20120919T150500000,50,28,2,0,4,8,31885393783456900,31885,12,6,6,0,3,0,1,4,2
PP2,3,R,20120919T151900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP2,3,R,20120919T152000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP2,3,R,20120919T152100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP2,3,R,20120919T152200000,5,2,0,1,0,1,4697153406401410,4697,0,0,0,0,0,0,0,0,0
PP2,3,R,20120919T152300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP2,3,R,20120919T152400000,6,5,0,1,0,0,4197665061869420,4198,0,0,0,0,0,0,0,4,1
PP2,3,T,20120919T152900000,28,13,2,0,13,0,18467091498630000,18467,0,0,0,0,0,0,0,0,6
PP2,3,T,20120919T153000000,25,12,1,0,8,2,15032901770630600,15033,26,13,13,0,4,2,4,2,8
PP2,3,T,20120919T153100000,21,9,0,0,6,3,12215257935119600,12215,1,0,1,0,1,0,0,1,2
PP2,3,T,20120919T153200000,41,11,3,0,21,3,26484910607482800,26485,2,0,2,0,0,2,0,4,2
PP2,3,T,20120919T153300000,24,8,0,1,7,4,15323602541172800,15324,5,0,5,0,1,2,1,4,0
PP2,3,T,20120919T153400000,39,16,0,0,13,5,22311187747565900,22311,7,0,7,0,0,5,0,8,2
PP2,3,T,20120919T153500000,18,9,0,0,1,4,9798503075860570,9799,30,12,18,0,7,2,5,0,0
PP2,3,T,20120919T153600000,4,4,0,0,0,0,2972075521266590,2972,73,32,41,0,25,0,10,0,0
PP2,3,T,20120919T153700000,20,13,0,0,1,3,12779475170545100,12779,29,13,16,0,6,1,7,2,0
PP2,3,T,20120919T153800000,31,14,0,0,11,3,22513959934314700,22514,4,0,4,0,2,2,0,10,1
PP2,3,T,20120919T153900000,39,21,1,0,9,4,2276312823332440,2276,5,0,5,0,2,3,0,8,2
PP2,3,T,20120919T154000000,17,1,0,0,12,2,14090940183503100,14091,37,23,14,0,7,0,6,0,0
PP2,3,T,20120919T154100000,18,1,0,0,15,1,12880309672170600,12880,5,0,5,0,2,0,1,0,0
PP2,3,T,20120919T154200000,52,21,0,13,16,1,29840741493134000,29841,20,7,13,0,10,2,0,5,4
PP2,3,T,20120919T154300000,16,11,0,0,1,2,999710381711938,1000,26,18,8,2,2,0,2,5,7
PP2,3,T,20120919T154400000,0,0,0,0,0,0,0,0,40,30,10,0,0,1,4,4,4
PP2,3,T,20120919T154500000,0,0,0,0,0,0,0,0,7,0,7,0,0,4,0,4,1
PP2,3,T,20120919T154600000,0,0,0,0,0,0,0,0,8,0,8,0,4,1,2,2,4
PP2,3,T,20120919T154700000,0,0,0,0,0,0,0,0,42,27,15,0,5,2,8,2,0
PP2,3,T,20120919T154800000,0,0,0,0,0,0,0,0,22,14,8,0,0,3,2,6,2
PP2,3,T,20120919T154900000,0,0,0,0,0,0,0,0,98,39,59,0,44,2,11,3,4
PP2,3,T,20120919T155000000,0,0,0,0,0,0,0,0,27,21,6,0,0,0,4,2,6
PP2,3,T,20120919T155100000,0,0,0,0,0,0,0,0,17,5,12,0,8,0,0,8,5
PP2,3,T,20120919T155200000,0,0,0,0,0,0,0,0,19,11,8,0,2,2,1,20,4
PP3,1,R,20120924T132400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
PP3,1,R,20120924T132500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
